name,description,tags,image_filename,price,author
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"No matter your goals, Atomic Habits offers a proven framework for improving--every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.",Self Development | Personal Transformation | Self-Help,Atomic Habits.jpg,11,James Clear
The Four Agreements: A Practical Guide to Personal Freedom,"In The Four Agreements, bestselling author don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom, The Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom, true happiness, and love.",Self Development | Motivational  | Self-Help,The Four Agreements.jpg,10,Don Miguel Ruiz
The Power of One More: The Ultimate Guide to Happiness and Success,"<p>In The Power of One More, renowned keynote speaker and performance expert Ed Mylett draws on 30 years of experience as an entrepreneur and coach to top athletes, entertainers, and business executives to reveal powerful strategies to help you live an extraordinary ""one more"" life.</p>

<h4>In The Power of One More, you'll:</h4>
<ul>
<li>Learn why you're closer to your dreams and goals than you think and why using The Power of One More strategies will help you cross the finish line in whatever race you're running</li>
<li>Understand the psychology and science of how to use The Power of One More in every part of your life to help you solve problems and achieve levels of success you never thought possible</li>
<li>Discover time-tested and unique solutions to challenges that will remove the mental roadblocks you've been battling for years</li>
<li>Perfect for anyone who wants more bliss, wealth, or better relationships, The Power of One More is an indispensable roadmap to realizing and exceeding your personal and professional goals by tapping into the superpowers and gifts you already have inside you.</li>
</ul>",Self Development | Motivational  | Self-Help,The Power of One More.jpg,17,Ed Mylett
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,"<p>In this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be ""positive"" all the time so that we can truly become better, happier people.</p>

<p>For decades, we’ve been told that positive thinking is the key to a happy, rich life. ""F**k positivity,"" Mark Manson says. ""Let’s be honest, shit is f**ked and we have to live with it."" In his wildly popular Internet blog, Manson doesn’t sugarcoat or equivocate. He tells it like it is—a dose of raw, refreshing, honest truth that is sorely lacking today. The Subtle Art of Not Giving a F**k is his antidote to the coddling, let’s-all-feel-good mindset that has infected modern society and spoiled a generation, rewarding them with gold medals just for showing up.</p>

<p>Manson makes the argument, backed both by academic research and well-timed poop jokes, that improving our lives hinges not on our ability to turn lemons into lemonade, but on learning to stomach lemons better. Human beings are flawed and limited—""not everybody can be extraordinary, there are winners and losers in society, and some of it is not fair or your fault."" Manson advises us to get to know our limitations and accept them. Once we embrace our fears, faults, and uncertainties, once we stop running and avoiding and start confronting painful truths, we can begin to find the courage, perseverance, honesty, responsibility, curiosity, and forgiveness we seek.</p>

<p>There are only so many things we can give a f**k about so we need to figure out which ones really matter, Manson makes clear. While money is nice, caring about what you do with your life is better, because true wealth is about experience. A much-needed grab-you-by-the-shoulders-and-look-you-in-the-eye moment of real-talk, filled with entertaining stories and profane, ruthless humor, The Subtle Art of Not Giving a F**k is a refreshing slap for a generation to help them lead contented, grounded lives.</p>",Self Development | Motivational  | Self-Help,The Subtle Art of Not Giving.jpg,12,Mark Manson
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,"<p>On May 17, 2014, Admiral William H. McRaven addressed the graduating class of the University of Texas at Austin on their Commencement day. Taking inspiration from the university's slogan, ""What starts here changes the world,"" he shared the ten principles he learned during Navy Seal training that helped him overcome challenges not only in his training and long Naval career, but also throughout his life; and he explained how anyone can use these basic lessons to change themselves-and the world-for the better.</p>

<p>Admiral McRaven's original speech went viral with over 10 million views. Building on the core tenets laid out in his speech, McRaven now recounts tales from his own life and from those of people he encountered during his military service who dealt with hardship and made tough decisions with determination, compassion, honor, and courage. Told with great humility and optimism, this timeless book provides simple wisdom, practical advice, and words of encouragement that will inspire readers to achieve more, even in life's darkest moments.</p>",Self Development | Motivational  | Self-Help,Make Your Bed.jpg,13,Admiral William H. McRaven
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"<p>Brené Brown’s game-changing New York Times bestseller, The Gifts of Imperfection, has sold more than 2 million copies in more than 30 different languages and is celebrating its 10th Anniversary in print. Forbes magazine named Gifts one of the ""Five Books That Will Actually Change Your Outlook On Life."" Through this self-help classicwe find courage to overcome paralyzing fear and self-consciousness, strengthening our connection to the world and helping us to believe we are worthy of self-discovery, personal growth, and boundless love.</p>

<p>A motivational and inspiring guide to wholehearted living, rather than just the average self-help book, with this groundbreaking work Brené Brown, Ph.D., bolsters the self-esteem and personal development process through her characteristic heartfelt, honest storytelling. With original research and plenty of encouragement, she explores the psychology of releasing our definitions of an “imperfect” life and embracing living authentically. Brown’s “ten guideposts”  are benchmarks for authenticity that can help anyone establish a practice for a life of honest beauty—a perfectly imperfect life.</p>

<p>Now more than ever, we all need to cultivate feelings of self-worth, as well as acceptance and love for ourselves. In a world where insults, criticisms, and fears are spread too generously alongside messages of unrealistic beauty, attainment, and expectation, we look for ways to “dig deep” and find truth and gratitude in our lives. A new way forward means we can’t hold on too tightly to our own self-defeating thoughts or the displaced pain in our world. Instead, we can embrace the imperfection.</p>",Self Development | Creativity | Self-Help,The Gifts of Imperfection.jpg,8,Brené Brown
The War of Art: Break Through the Blocks and Win Your Inner Creative Battles,"<p>A succinct, engaging, and practical guide for succeeding in any creative sphere, The War of Art is nothing less than Sun-Tzu for the soul.</p>

<p>What keeps so many of us from doing what we long to do?</p>

<p>Why is there a naysayer within? How can we avoid the roadblocks of any creative endeavor—be it starting up a dream business venture, writing a novel, or painting a masterpiece?</p>

<p>Bestselling novelist Steven Pressfield identifies the enemy that every one of us must face, outlines a battle plan to conquer this internal foe, then pinpoints just how to achieve the greatest success.</p>

<p>The War of Art emphasizes the resolve needed to recognize and overcome the obstacles of ambition and then effectively shows how to reach the highest level of creative discipline.</p>

<p>Think of it as tough love . . . for yourself.</p>

<p>Whether an artist, writer or business person, this simple, personal, and no-nonsense book will inspire you to seize the potential of your life.</p>",Self Development | Creativity | Self-Help,The War of Art.jpg,11,Steven Pressfield
Tiny Habits: The Small Changes That Change Everything,"<p>New York Times Bestseller | A habit expert from Stanford University shares his breakthrough method for building habits quickly and easily. With Tiny Habits you’ll increase productivity by tapping into positive emotions to create a happier and healthier life. Dr. Fogg’s new and extremely practical method picks up where Atomic Habits left off. </p>


<p>“There are many great books on the topic [of habits]: The Power of Habit, Atomic Habits, but this offers the most comprehensive, practical, simple, and compassionate method I've ever come across.” —John Stepper, Goodreads user</p>


<p>BJ FOGG is here to change your life—and revolutionize how we think about human behavior. Based on twenty years of research and Fogg’s experience coaching more than 40,000 people, Tiny Habits cracks the code of habit formation. With breakthrough discoveries in every chapter, you’ll learn the simplest proven ways to transform your life. Fogg shows you how to feel good about your successes instead of bad about your failures. </p>


<p>This proven, step-by-step guide will help you design habits and make them stick through positive emotion and celebrating small successes. Whether you want to lose weight, de-stress, sleep better, or be more productive each day, Tiny Habits makes it easy to achieve—by starting small.</p>",Self Development | Time Management | Self-Help,Tiny Habits.jpg,13, BJ Fogg
The 5AM Club: Own Your Morning. Elevate Your Life,"<p>Legendary leadership and elite performance expert Robin Sharma introduced The 5am Club concept more than 20 years ago, based on a revolutionary morning routine that has helped his clients maximize their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.</p>

<p>Now, in this life-changing guide, handcrafted by the author over a rigorous four-year period, you will discover the early-rising habit that has helped so many accomplish epic results while upgrading their happiness, helpfulness, and feelings of aliveness.</p>

<p>Through an enchanting - and often amusing - story about two struggling strangers who meet an eccentric tycoon who becomes their secret mentor, The 5am Club will walk you through:</p>
<ul>
<li>How great geniuses, business titans and the world’s wisest people start their mornings to produce astonishing achievements</li>
<li>A little-known formula you can use instantly to wake up early feeling inspired, focused, and flooded with a fiery drive to get the most out of each day</li>
<li>A step-by-step method to protect the quietest hours of daybreak so you have time for exercise, self-renewal, and personal growth</li>
<li>A neuroscience-based practice proven to help make it easy to rise while most people are sleeping, giving you precious time for yourself to think, express your creativity, and begin the day peacefully instead of being rushed</li>
<li>“Insider-only” tactics to defend your gifts, talents, and dreams against digital distraction and trivial diversions so you enjoy fortune, influence, and a magnificent impact on the world</li>
<li>Part manifesto for mastery, part playbook for genius-grade productivity and part companion for a life lived beautifully, The 5am Club is a work that will transform your life. Forever.</li>
</ul>",Self Development | Time Management | Self-Help,The 5AM Club.jpg,12,Robin Sharma
"Becoming the One: Heal Your Past, Transform Your Relationship Patterns, and Come Home to Yourself","<p>Romantic relationships have the ability to infuse our lives with the magic of intimacy and connection. But for many of us, that magic is fleeting—over and over, our relationships don't last, or if they do, they fail to make us happy. We find ourselves chasing unavailable love, sublimating our needs in service to others, or trying to save our partners from themselves, all the while abandoning the one who needs us most—ourselves.</p>

<p>If you find yourself struggling to let go after a relationship ends, or you keep hitting the same wall in dating and relationships with emotionally unavailable people, this is not a sign that you are broken. It is a sign that somewhere along the way, you learned to sacrifice yourself in order to be loved. In Becoming the One, spiritual leader and visionary founder of the Rising Woman community Sheleana Aiyana offers a road map for transforming your relationship patterns to end the cycle of self-abandonment and move into the light of self-discovery.</p>",Self Development | Happiness  | Self-Help,Becoming the One.jpg,9,Sheleana Aiyana
"Happy Mind, Happy Life: The New Science of Mental Wellbeing","<p>During his twenty years as a GP, Dr. Rangan Chatterjee, author of the international bestseller Feel Better in 5, has seen first-hand that motivation isn't always enough for us to maintain a healthy lifestyle. It's only when we learn how to support our own mental wellbeing and cultivate core happiness that these choices become easy.</p>

<p>In Happy Mind, Happy Life, Dr. Chatterjee shares cutting-edge insights into the science of happiness and reveals ten simple ways to put you back in control of your health. It features real-life case studies and more than twenty practical exercises</p>",Self Development | Happiness  | Self-Help,Happy Mind - Happy Life.jpg,13,Dr. Rangan Chatterjee
